algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,10,10,5,1.0,1.0,0.050062199821695685
DMMP-R-RL-AC,10,10,5,1.0,1.0,0.41421120008453727
Greedy-Nearest,10,10,5,1.0,1.0,0.003760299878194928
PSO,10,10,5,1.0,1.0,2.7635660998057574
DPSO,10,10,5,1.0,1.0,3.944061700021848
DMMP-PR-TSA,20,20,5,0.7,0.75,0.12762649985961616
DMMP-R-RL-AC,20,20,5,0.9,1.0,4.487333099823445
Greedy-Nearest,20,20,5,0.95,1.0,0.0049051998648792505
PSO,20,20,5,1.0,1.0,3.780825400026515
DPSO,20,20,5,1.0,1.0,7.6496021000202745
DMMP-PR-TSA,30,30,5,0.5,1.0,0.2685020000208169
DMMP-R-RL-AC,30,30,5,0.8333333333333334,1.0,13.719780300045386
Greedy-Nearest,30,30,5,0.8666666666666667,1.0,0.004838399821892381
PSO,30,30,5,0.8666666666666667,1.0,5.4567299000918865
DPSO,30,30,5,1.0,1.0,13.84231170010753
DMMP-PR-TSA,40,40,5,0.6,0.75,0.2834468998480588
DMMP-R-RL-AC,40,40,5,0.875,1.0,17.58707039989531
Greedy-Nearest,40,40,5,0.75,1.0,0.007578799966722727
PSO,40,40,5,0.65,1.0,9.431081000017002
DPSO,40,40,5,0.75,1.0,25.32108510006219
DMMP-PR-TSA,50,50,5,0.38,0.75,0.3898312000092119
DMMP-R-RL-AC,50,50,5,0.72,1.0,46.6445319999475
Greedy-Nearest,50,50,5,0.72,1.0,0.008760799886658788
PSO,50,50,5,0.54,1.0,11.66766000003554
DPSO,50,50,5,0.52,0.75,33.369238399900496
DMMP-PR-TSA,60,60,5,0.4,0.6,0.6712939001154155
DMMP-R-RL-AC,60,60,5,0.6333333333333333,1.0,67.92764079989865
Greedy-Nearest,60,60,5,0.7,1.0,0.0070170999970287085
PSO,60,60,5,0.38333333333333336,0.2,13.517996500013396
DPSO,60,60,5,0.5,0.4,43.42388020013459
DMMP-PR-TSA,70,70,5,0.24285714285714285,0.4,0.9301738000940531
DMMP-R-RL-AC,70,70,5,0.5571428571428572,0.8,64.51868809992447
Greedy-Nearest,70,70,5,0.5714285714285714,1.0,0.009989200159907341
PSO,70,70,5,0.45714285714285713,0.4,15.277683299966156
DPSO,70,70,5,0.45714285714285713,0.8,55.63025019993074
DMMP-PR-TSA,80,80,5,0.275,0.5714285714285714,1.1805108000990003
DMMP-R-RL-AC,80,80,5,0.5625,1.0,98.63599820015952
Greedy-Nearest,80,80,5,0.5125,1.0,0.009367399848997593
PSO,80,80,5,0.35,0.2857142857142857,10.557753999950364
DPSO,80,80,5,0.35,0.5714285714285714,40.20989409997128
DMMP-PR-TSA,90,90,5,0.28888888888888886,0.5,0.7712705000303686
DMMP-R-RL-AC,90,90,5,0.4666666666666667,0.875,86.73364470014349
Greedy-Nearest,90,90,5,0.5,1.0,0.005344599951058626
PSO,90,90,5,0.35555555555555557,0.75,14.351509999949485
DPSO,90,90,5,0.34444444444444444,0.5,76.59633800014853
DMMP-PR-TSA,100,100,5,0.22,0.6666666666666666,0.9231988000683486
DMMP-R-RL-AC,100,100,5,0.46,1.0,144.79404409998097
Greedy-Nearest,100,100,5,0.45,1.0,0.012014999985694885
PSO,100,100,5,0.32,0.6666666666666666,21.11033899988979
DPSO,100,100,5,0.29,0.3333333333333333,94.62848119996488
