algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,30,30,5,0.8666666666666667,1.0,0.37375309999333695
DMMP-R-RL-AC,30,30,5,1.0,1.0,0.30392920004669577
Greedy-Nearest,30,30,5,1.0,1.0,0.00830889999633655
PSO,30,30,5,0.9,1.0,9.165428299980704
DPSO,30,30,5,1.0,1.0,21.30458549998002
DMMP-PR-TSA,40,40,5,0.75,1.0,0.47092450002674013
DMMP-R-RL-AC,40,40,5,0.875,1.0,0.8583448000135832
Greedy-Nearest,40,40,5,0.85,0.8,0.02623499999754131
PSO,40,40,5,0.675,0.9,11.753214200027287
DPSO,40,40,5,0.6,0.6,25.598681100003887
DMMP-PR-TSA,50,50,5,0.7,0.9333333333333333,0.44191789999604225
DMMP-R-RL-AC,50,50,5,0.78,1.0,1.410905400000047
Greedy-Nearest,50,50,5,0.74,0.4,0.03286619996652007
PSO,50,50,5,0.58,0.6666666666666666,14.280522500048392
DPSO,50,50,5,0.52,0.6,37.06553580000764
DMMP-PR-TSA,60,60,5,0.5666666666666667,0.9444444444444444,0.7800372000201605
DMMP-R-RL-AC,60,60,5,0.65,1.0,1.4946605999721214
Greedy-Nearest,60,60,5,0.7166666666666667,0.3888888888888889,0.0329492999590002
PSO,60,60,5,0.5,0.6666666666666666,14.908033199957572
DPSO,60,60,5,0.43333333333333335,0.3888888888888889,46.495505500002764
DMMP-PR-TSA,70,70,5,0.5714285714285714,1.0,2.2823536000214517
DMMP-R-RL-AC,70,70,5,0.5857142857142857,1.0,1.3291476999875158
Greedy-Nearest,70,70,5,0.6142857142857143,0.1,0.03730989998439327
PSO,70,70,5,0.45714285714285713,0.6,16.216097399999853
DPSO,70,70,5,0.4142857142857143,0.55,35.67870310001308
DMMP-PR-TSA,80,80,5,0.525,1.0,1.0037086000083946
DMMP-R-RL-AC,80,80,5,0.525,1.0,1.6591939999489114
Greedy-Nearest,80,80,5,0.5375,0.17391304347826086,0.0512068000389263
PSO,80,80,5,0.3375,0.4782608695652174,19.66357470001094
DPSO,80,80,5,0.3125,0.34782608695652173,68.80747980001615
DMMP-PR-TSA,90,90,5,0.4222222222222222,0.9259259259259259,0.6627072999835946
DMMP-R-RL-AC,90,90,5,0.4444444444444444,0.8888888888888888,1.7750323000364006
Greedy-Nearest,90,90,5,0.45555555555555555,0.0,0.06670869997469708
PSO,90,90,5,0.3333333333333333,0.37037037037037035,22.470593100006226
DPSO,90,90,5,0.3111111111111111,0.25925925925925924,80.71699550002813
DMMP-PR-TSA,100,100,5,0.38,0.8666666666666667,2.9386364999809302
DMMP-R-RL-AC,100,100,5,0.4,0.7666666666666667,1.5968216999899596
Greedy-Nearest,100,100,5,0.42,0.03333333333333333,0.0795155999949202
PSO,100,100,5,0.27,0.3333333333333333,23.415236299973913
DPSO,100,100,5,0.25,0.26666666666666666,94.1750713000074
